,UMAP1,UMAP2,UMAP3,cluster_label,Planet
1078,-0.50304574,8.499728,3.2683618,1,TOI-2096 b
1079,-0.88353354,8.626797,3.3724914,1,TOI-2096 c
1080,-1.2961452,9.255222,4.6560144,1,TOI-2136 b
1081,-1.3258958,9.220793,4.6128483,1,TOI-2136 b
1082,-0.73801297,8.72403,3.8260975,1,TOI-2136 b
1083,9.751758,7.6294904,2.557369,0,TOI-2145 b
1084,12.260277,9.493695,1.4999949,0,TOI-2152 A b
1085,11.130138,9.577714,2.5779457,0,TOI-2154 b
1086,8.522219,6.2626853,2.943291,4,TOI-2180 b
1087,12.101887,11.93314,3.2385876,0,TOI-2193 A b
1088,9.906784,12.926864,4.7778406,0,TOI-2196 b
1089,6.9264536,11.043242,5.2374773,0,TOI-2202 b
1090,6.8685937,10.903786,5.183488,0,TOI-2202 c
1091,10.34568,8.807017,2.6937125,0,TOI-2207 b
1092,12.507744,10.712349,2.1084938,0,TOI-2236 b
1093,0.97457,8.143747,2.8870635,1,TOI-2285 b
1094,7.3355126,5.139508,2.7906704,4,TOI-2338 b
1095,7.4250216,12.427654,5.807749,0,TOI-2364 b
1096,-1.6229327,8.869613,3.1807387,1,TOI-237 b
1097,1.5035759,8.468505,3.6163018,1,TOI-2406 b
1098,11.091566,12.032582,3.0116153,0,TOI-2421 b
1099,12.379458,9.207323,1.0556084,0,TOI-2497 b
1100,10.699456,12.658237,4.2230873,0,TOI-251 b
1101,6.904089,9.53029,4.569323,0,TOI-2525 b
1102,6.882301,9.592399,4.6085553,0,TOI-2525 c
1103,11.042218,12.019867,3.0307162,0,TOI-2567 b
1104,12.2133665,10.9129505,2.0264418,0,TOI-257 b
1105,10.765655,12.651199,4.15068,0,TOI-2570 b
1106,11.507962,11.668833,2.7716832,0,TOI-2583 A b
1107,11.225843,11.976825,2.7569058,0,TOI-2587 A b
1108,7.694337,5.5908117,2.5978158,4,TOI-2589 b
1109,10.324727,8.803347,2.6984093,0,TOI-2641 b
1110,-1.1106812,9.277954,4.8106103,1,TOI-270 b
1111,-0.39564514,9.045613,4.775157,1,TOI-270 b
1112,-1.1182449,9.277885,4.8023868,1,TOI-270 c
1113,-0.44107738,9.101986,4.846418,1,TOI-270 c
1114,-1.1220875,9.278015,4.7996693,1,TOI-270 d
1115,-0.4201103,9.065581,4.8005667,1,TOI-270 d
1116,10.676571,12.728126,4.2447186,0,TOI-2796 b
1117,12.592003,10.750938,2.2932155,0,TOI-2803 A b
1118,11.058117,12.450424,3.7432158,0,TOI-2818 b
1119,11.9992895,12.031812,3.3360662,0,TOI-2842 b
1120,10.1804905,12.93118,4.5978336,0,TOI-2977 b
1121,11.214105,11.957342,2.7913399,0,TOI-3023 b
1122,-0.81284356,9.123014,4.6942654,1,TOI-3235 b
1123,9.436936,12.869217,4.954976,0,TOI-3331 A b
1124,7.824768,4.8031507,2.5154026,4,TOI-3362 b
1125,11.094198,12.143712,3.1925194,0,TOI-3364 b
1126,11.261842,12.399198,3.70349,0,TOI-3540 A b
1127,11.992134,11.93606,3.203716,0,TOI-3688 A b
1128,7.406857,12.518561,5.8698716,0,TOI-3693 b
1129,1.4978584,8.699859,4.072617,1,TOI-3757 b
1130,0.74385273,8.740269,4.1665406,1,TOI-3785 b
1131,11.156512,12.091857,3.0992665,0,TOI-3807 b
1132,11.385465,11.801573,2.734714,0,TOI-3819 b
1133,0.71919405,8.1158,2.7346866,1,TOI-3884 b
1134,11.0985,12.210761,3.2463415,0,TOI-3912 b
1135,11.605755,11.643071,2.7309396,0,TOI-3976 A b
1136,12.289141,11.877104,3.2880635,0,TOI-4087 b
1137,7.7315865,4.776043,2.6182683,4,TOI-4127 b
1138,12.497652,10.770412,2.2919002,0,TOI-4137 b
1139,7.325398,12.430161,5.870482,0,TOI-4145 A b
1140,10.536445,9.022584,2.6774437,0,TOI-4406 b
1141,9.996083,12.957456,4.734805,0,TOI-4463 A b
1142,9.098898,12.778761,5.0837893,0,TOI-451 b
1143,9.117236,12.789001,5.0784574,0,TOI-451 c
1144,9.1067505,12.769387,5.0759706,0,TOI-451 d
1145,9.441651,7.2005286,2.363859,0,TOI-4603 b
1146,12.029241,11.403308,2.7452395,0,TOI-4791 b
1147,9.929843,9.639105,3.2725868,0,TOI-481 b
1148,0.8312329,8.100924,2.7813878,1,TOI-519 b
1149,-0.5397105,9.122527,4.8233433,1,TOI-5205 b
1150,0.79687285,9.437655,5.3496346,1,TOI-530 b
1151,1.3194185,9.428581,5.303072,1,TOI-532 b
1152,-1.6513113,8.84888,3.1177225,1,TOI-540 b
1153,11.734088,11.414919,2.2017465,0,TOI-5542 b
1154,9.545577,7.276898,2.3290584,0,TOI-558 b
1155,10.060369,9.553965,3.1422932,0,TOI-559 b
1156,7.510682,12.591813,5.8608913,0,TOI-561 b
1157,7.4717994,12.552315,5.846801,0,TOI-561 b
1158,7.520878,12.569445,5.8609986,0,TOI-561 b
1159,7.4948735,12.493759,5.8144493,0,TOI-561 c
1160,7.7738776,11.821303,5.4020915,0,TOI-561 c
1161,9.684138,11.699325,4.2443924,0,TOI-564 b
1162,8.670772,6.242738,2.2051795,4,TOI-615 b
1163,1.1578826,8.415749,3.5163484,1,TOI-620 b
1164,8.550465,6.127111,2.2087867,4,TOI-622 b
1165,11.463731,9.957337,2.590647,0,TOI-628 b
